child_id,path_id,date,node,node_N,node_NN
1000000,0,2015-01-01,contact,0,0
1000001,0,2015-01-01,contact,0,0
1000002,0,2015-01-01,contact,0,0
1000003,0,2015-01-01,contact,0,0
1000004,0,2015-01-01,contact,0,0
1000005,0,2015-01-01,contact,0,0
1000006,0,2015-01-01,contact,0,0
1000007,0,2015-01-01,contact,0,0
1000008,0,2015-01-01,contact,0,0
1000009,0,2015-01-01,contact,0,0
1000010,0,2015-01-01,contact,0,0
1000011,0,2015-01-01,contact,0,0
1000012,0,2015-01-01,contact,0,0
1000013,0,2015-01-01,contact,0,0
1000014,0,2015-01-01,contact,0,0
1000015,0,2015-01-01,contact,0,0
1000016,0,2015-01-01,contact,0,0
1000017,0,2015-01-01,contact,0,0
1000018,0,2015-01-01,contact,0,0
1000019,0,2015-01-01,contact,0,0
1000020,0,2015-01-01,contact,0,0
1000021,0,2015-01-01,contact,0,0
1000022,0,2015-01-01,contact,0,0
1000023,0,2015-01-01,contact,0,0
1000024,0,2015-01-01,contact,0,0
1000025,0,2015-01-01,contact,0,0
1000026,0,2015-01-01,contact,0,0
1000027,0,2015-01-01,contact,0,0
1000028,0,2015-01-01,contact,0,0
1000029,0,2015-01-01,contact,0,0
1000030,0,2015-01-01,contact,0,0
1000031,0,2015-01-01,contact,0,0
1000032,0,2015-01-01,contact,0,0
1000033,0,2015-01-01,contact,0,0
1000034,0,2015-01-01,contact,0,0
1000035,0,2015-01-01,contact,0,0
1000036,0,2015-01-01,contact,0,0
1000037,0,2015-01-01,contact,0,0
1000038,0,2015-01-01,contact,0,0
1000039,0,2015-01-01,contact,0,0
1000040,0,2015-01-01,contact,0,0
1000041,0,2015-01-01,contact,0,0
1000042,0,2015-01-01,contact,0,0
1000043,0,2015-01-01,contact,0,0
1000044,0,2015-01-01,contact,0,0
1000045,0,2015-01-01,contact,0,0
1000046,0,2015-01-01,contact,0,0
1000047,0,2015-01-01,contact,0,0
1000048,0,2015-01-01,contact,0,0
1000049,0,2015-01-01,contact,0,0
1000050,0,2015-01-01,contact,0,0
1000051,0,2015-01-01,contact,0,0
1000052,0,2015-01-01,contact,0,0
1000053,0,2015-01-01,contact,0,0
1000054,0,2015-01-01,contact,0,0
1000055,0,2015-01-01,contact,0,0
1000056,0,2015-01-01,contact,0,0
1000057,0,2015-01-01,contact,0,0
1000058,0,2015-01-01,contact,0,0
1000002,0,2015-01-01,referral,1,1
1000003,0,2015-01-01,referral,1,1
1000004,0,2015-01-01,referral,1,1
1000005,0,2015-01-01,referral,1,1
1000007,0,2015-01-01,referral,1,1
1000008,0,2015-01-01,referral,1,1
1000010,0,2015-01-01,referral,1,1
1000011,0,2015-01-01,referral,1,1
1000013,0,2015-01-01,referral,1,1
1000014,0,2015-01-01,referral,1,1
1000016,0,2015-01-01,referral,1,1
1000017,0,2015-01-01,exit_nonsocialcare,1,1
1000018,0,2015-01-01,referral,1,1
1000022,0,2015-01-01,referral,1,1
1000023,0,2015-01-01,referral,1,1
1000024,0,2015-01-01,referral,1,1
1000026,0,2015-01-01,referral,1,1
1000027,0,2015-01-01,referral,1,1
1000030,0,2015-01-01,referral,1,1
1000031,0,2015-01-01,exit_nonsocialcare,1,1
1000032,0,2015-01-01,exit_nonsocialcare,1,1
1000033,0,2015-01-01,referral,1,1
1000034,0,2015-01-01,referral,1,1
1000035,0,2015-01-01,referral,1,1
1000038,0,2015-01-01,referral,1,1
1000039,0,2015-01-01,referral,1,1
1000040,0,2015-01-01,referral,1,1
1000043,0,2015-01-01,referral,1,1
1000046,0,2015-01-01,referral,1,1
1000047,0,2015-01-01,referral,1,1
1000049,0,2015-01-01,referral,1,1
1000050,0,2015-01-01,exit_nonsocialcare,1,1
1000051,0,2015-01-01,exit_nonsocialcare,1,1
1000056,0,2015-01-01,exit_nonsocialcare,1,1
1000002,0,2015-01-01,candf,2,2
1000003,0,2015-01-01,candf,2,2
1000004,0,2015-01-01,candf,2,2
1000005,0,2015-01-01,candf,2,2
1000007,0,2015-01-01,candf,2,2
1000008,0,2015-01-01,candf,2,2
1000010,0,2015-01-01,strategy,2,2
1000011,0,2015-01-01,strategy,2,2
1000013,0,2015-01-01,candf,2,2
1000014,0,2015-01-01,candf,2,2
1000016,0,2015-01-01,exit_lac,2,2
1000018,0,2015-01-01,candf,2,2
1000022,0,2015-01-01,candf,2,2
1000023,0,2015-01-01,candf,2,2
1000024,0,2015-01-01,exit_nonsocialcare,2,2
1000026,0,2015-01-01,candf,2,2
1000027,0,2015-01-01,candf,2,2
1000030,0,2015-01-01,candf,2,2
1000033,0,2015-01-01,exit_nonsocialcare,2,2
1000034,0,2015-01-01,strategy,2,2
1000035,0,2015-01-01,candf,2,2
1000038,0,2015-01-01,candf,2,2
1000039,0,2015-01-01,candf,2,2
1000040,0,2015-01-01,candf,2,2
1000043,0,2015-01-01,strategy,2,2
1000046,0,2015-01-01,exit_lac,2,2
1000047,0,2015-01-01,strategy,2,2
1000049,0,2015-01-01,strategy,2,2
1000011,0,2015-01-01,s47,3,3
1000034,0,2015-01-01,s47,3,3
1000047,0,2015-01-01,s47,3,3
1000049,0,2015-01-01,s47,3,3
1000059,0,2015-01-02,contact,0,0
1000060,0,2015-01-02,contact,0,0
1000061,0,2015-01-02,contact,0,0
1000062,0,2015-01-02,contact,0,0
1000063,0,2015-01-02,contact,0,0
1000064,0,2015-01-02,contact,0,0
1000065,0,2015-01-02,contact,0,0
1000066,0,2015-01-02,contact,0,0
1000067,0,2015-01-02,contact,0,0
1000068,0,2015-01-02,contact,0,0
1000069,0,2015-01-02,contact,0,0
1000070,0,2015-01-02,contact,0,0
1000071,0,2015-01-02,contact,0,0
1000072,0,2015-01-02,contact,0,0
1000073,0,2015-01-02,contact,0,0
1000074,0,2015-01-02,contact,0,0
1000075,0,2015-01-02,contact,0,0
1000076,0,2015-01-02,contact,0,0
1000077,0,2015-01-02,contact,0,0
1000078,0,2015-01-02,contact,0,0
1000079,0,2015-01-02,contact,0,0
1000080,0,2015-01-02,contact,0,0
